Id,Category
270,9
271,0
272,1
273,1
274,6
275,1
276,1
277,1
278,3
279,1
280,1
281,7
282,9
283,7
284,6
285,3
286,1
287,4
288,1
289,1
290,1
291,1
292,1
293,6
294,2
295,1
296,1
297,1
298,1
299,1
300,2
301,1
302,1
303,1
304,3
305,1
306,5
307,1
308,9
309,4
310,7
311,6
312,0
313,2
314,9
315,1
316,2
317,1
318,2
319,2
320,9
321,2
322,0
323,2
324,1
325,6
326,8
327,2
328,4
329,9
330,2
331,5
332,1
333,3
334,7
335,6
336,3
337,6
338,6
339,1
340,2
341,5
342,9
343,2
344,2
345,2
346,9
347,2
348,2
349,2
350,1
351,5
352,3
353,1
354,2
355,1
356,2
357,6
358,6
359,2
360,9
361,7
362,5
363,2
364,7
365,2
366,2
367,2
368,2
369,5
370,5
371,1
372,2
373,5
374,2
375,9
376,6
377,3
378,2
379,9
380,2
381,2
382,6
383,6
384,0
385,9
386,9
387,9
388,5
389,2
390,9
391,7
392,2
393,6
394,6
395,2
396,9
397,6
398,7
399,5
400,1
401,6
402,2
403,7
404,5
405,6
406,2
407,7
408,9
409,1
410,5
411,2
412,2
413,6
414,2
415,3
416,2
417,2
418,6
419,7
420,2
421,5
422,0
423,3
424,2
425,3
426,2
427,9
428,5
429,1
430,2
431,2
432,2
433,9
434,2
435,0
436,9
437,8
438,8
439,7
440,3
441,7
442,8
443,4
444,3
445,2
446,0
447,1
448,2
449,3
450,1
451,3
452,0
453,3
454,3
455,3
456,2
457,3
458,0
459,3
460,1
461,3
462,4
463,1
464,0
465,3
466,3
467,9
468,3
469,7
470,3
471,3
472,4
473,0
474,3
475,0
476,3
477,3
478,3
479,0
480,7
481,0
482,1
483,1
484,7
485,0
486,7
487,0
488,3
489,3
490,3
491,3
492,3
493,3
494,3
495,8
496,3
497,3
498,3
499,1
500,0
501,3
502,6
503,3
504,3
505,0
506,0
507,9
508,1
509,1
510,3
511,3
512,8
513,0
514,3
515,3
516,0
517,3
518,1
519,0
520,0
521,3
522,0
523,3
524,4
525,2
526,1
527,0
528,3
529,1
530,9
531,3
532,1
533,1
534,0
535,3
536,3
537,3
538,3
539,3
540,2
541,0
542,1
543,3
544,3
545,0
546,1
547,5
548,3
549,7
550,1
551,4
552,1
553,3
554,0
555,3
556,7
557,7
558,3
559,3
560,3
561,1
562,1
563,5
564,0
565,3
566,0
567,9
568,0
569,5
570,1
571,0
572,5
573,7
574,4
575,4
576,4
577,6
578,3
579,9
580,4
581,1
582,9
583,3
584,3
585,4
586,6
587,9
588,6
589,2
590,4
591,2
592,3
593,3
594,6
595,1
596,4
597,5
598,4
599,1
600,4
601,6
602,2
603,1
604,4
605,6
606,1
607,4
608,1
609,6
610,5
611,6
612,8
613,1
614,4
615,1
616,1
617,6
618,2
619,1
620,4
621,1
622,5
623,3
624,1
625,4
626,0
627,4
628,6
629,3
630,4
631,5
632,6
633,5
634,5
635,1
636,8
637,3
638,4
639,4
640,3
641,4
642,3
643,6
644,1
645,2
646,1
647,4
648,2
649,9
650,9
651,6
652,5
653,9
654,6
655,3
656,4
657,2
658,3
659,5
660,9
661,6
662,9
663,2
664,6
665,9
666,1
667,6
668,9
669,7
670,5
671,6
672,4
673,5
674,1
675,4
676,9
677,6
678,3
679,4
680,6
681,6
682,4
683,1
684,4
685,9
686,0
687,4
688,1
689,5
690,1
691,6
692,6
693,7
694,5
695,5
696,5
697,7
698,7
699,9
700,5
701,5
702,7
703,2
704,2
705,1
706,1
707,5
708,5
709,1
710,2
711,7
712,5
713,5
714,6
715,9
716,2
717,7
718,6
719,2
720,5
721,2
722,5
723,2
724,5
725,4
726,1
727,7
728,7
729,1
730,2
731,2
732,3
733,5
734,1
735,5
736,1
737,2
738,5
739,1
740,9
741,1
742,9
743,2
744,3
745,5
746,8
747,6
748,8
749,9
750,1
751,2
752,6
753,5
754,1
755,5
756,1
757,0
758,5
759,6
760,2
761,9
762,2
763,1
764,2
765,9
766,2
767,9
768,9
769,2
770,7
771,7
772,7
773,1
774,5
775,5
776,5
777,5
778,6
779,1
780,9
781,3
782,5
783,5
784,7
785,2
786,5
787,5
788,7
789,7
790,6
791,9
792,5
793,5
794,1
795,5
796,7
797,2
798,2
799,5
800,7
801,1
802,9
803,7
804,6
805,7
806,2
807,7
808,5
809,5
810,1
811,3
812,4
813,2
814,6
815,1
816,6
817,9
818,6
819,2
820,6
821,9
822,2
823,2
824,9
825,6
826,6
827,9
828,6
829,9
830,9
831,1
832,6
833,1
834,6
835,6
836,6
837,6
838,1
839,6
840,2
841,1
842,6
843,1
844,9
845,9
846,6
847,6
848,6
849,2
850,1
851,6
852,6
853,6
854,9
855,6
856,6
857,6
858,6
859,6
860,6
861,6
862,7
863,2
864,4
865,6
866,6
867,2
868,6
869,3
870,6
871,6
872,6
873,6
874,9
875,2
876,6
877,6
878,6
879,9
880,6
881,6
882,6
883,3
884,5
885,6
886,1
887,7
888,1
889,6
890,6
891,6
892,7
893,6
894,6
895,3
896,6
897,9
898,3
899,2
900,6
901,6
902,6
903,6
904,6
905,1
906,6
907,1
908,7
909,1
910,1
911,6
912,2
913,1
914,6
915,9
916,9
917,2
918,6
919,6
920,6
921,6
922,2
923,6
924,6
925,6
926,6
927,1
928,7
929,2
930,1
931,6
932,2
933,7
934,7
935,5
936,8
937,7
938,3
939,2
940,1
941,1
942,2
943,7
944,0
945,2
946,7
947,7
948,9
949,2
950,6
951,7
952,1
953,1
954,6
955,1
956,6
957,7
958,5
959,7
960,1
961,7
962,5
963,2
964,5
965,7
966,5
967,8
968,7
969,5
970,5
971,2
972,2
973,1
974,5
975,1
976,8
977,7
978,1
979,2
980,7
981,3
982,9
983,9
984,1
985,7
986,7
987,3
988,7
989,6
990,3
991,1
992,7
993,0
994,7
995,1
996,8
997,2
998,1
999,2
1000,7
1001,7
1002,7
1003,7
1004,7
1005,6
1006,2
1007,1
1008,6
1009,7
1010,5
1011,2
1012,8
1013,2
1014,2
1015,6
1016,8
1017,6
1018,6
1019,6
1020,5
1021,6
1022,7
1023,1
1024,7
1025,2
1026,2
1027,5
1028,6
1029,5
1030,8
1031,1
1032,6
1033,5
1034,2
1035,7
1036,1
1037,1
1038,8
1039,0
1040,2
1041,0
1042,2
1043,9
1044,1
1045,8
1046,5
1047,5
1048,8
1049,0
1050,0
1051,4
1052,1
1053,9
1054,2
1055,5
1056,5
1057,3
1058,0
1059,8
1060,7
1061,2
1062,4
1063,1
1064,1
1065,8
1066,9
1067,7
1068,8
1069,7
1070,8
1071,2
1072,3
1073,9
1074,2
1075,3
1076,3
1077,2
1078,2
1079,7
1080,2
1081,0
1082,9
1083,0
1084,3
1085,8
1086,6
1087,9
1088,1
1089,1
1090,2
1091,3
1092,0
1093,0
1094,1
1095,2
1096,1
1097,5
1098,8
1099,5
1100,5
1101,9
1102,2
1103,9
1104,2
1105,2
1106,7
1107,5
1108,2
1109,9
1110,8
1111,2
1112,9
1113,2
1114,7
1115,9
1116,8
1117,5
1118,9
1119,8
1120,1
1121,8
1122,1
1123,9
1124,3
1125,3
1126,9
1127,9
1128,1
1129,0
1130,9
1131,9
1132,3
1133,4
1134,3
1135,4
1136,0
1137,4
1138,8
1139,8
1140,5
1141,9
1142,9
1143,5
1144,2
1145,9
1146,9
1147,9
1148,8
1149,0
1150,9
1151,0
1152,9
1153,9
1154,9
1155,9
1156,9
1157,9
1158,9
1159,9
1160,9
1161,9
1162,9
1163,9
1164,9
1165,9
1166,4
1167,9
1168,9
1169,9
1170,2
1171,6
1172,9
1173,2
1174,9
1175,9
1176,9
1177,9
1178,9
1179,9
1180,9
1181,9
1182,9
1183,0
1184,6
1185,9
1186,9
1187,9
1188,9
1189,9
1190,5
1191,9
1192,9
1193,9
1194,9
1195,3
1196,9
1197,4
1198,9
1199,9
1200,0
1201,8
1202,9
1203,9
1204,9
1205,9
1206,9
1207,4
1208,5
1209,9
1210,0
1211,9
1212,5
1213,0
1214,9
1215,9
1216,0
1217,9
1218,9
1219,9
1220,5
1221,5
1222,9
1223,9
1224,9
1225,9
1226,3
1227,9
1228,9
1229,9
1230,9
1231,9
1232,5
1233,9
1234,2
1235,0
1236,9
1237,9
1238,9
1239,9
1240,3
1241,5
1242,3
1243,1
